laptop_timestamp,timestamp_ms,temp_c,humidity_pct,mq2_adc,flame_state,dht_ok,label,experiment
2026-09-11T15:45:54.632,504151,28.50,74.50,194,0,1,normal,baseline
2026-09-11T15:45:57.116,506660,28.60,74.50,194,0,1,normal,baseline
2026-09-11T15:45:59.600,509169,28.50,74.60,195,0,1,normal,baseline
2026-09-11T15:46:02.085,511677,28.70,74.40,194,0,1,normal,baseline
2026-09-11T15:46:04.569,514186,28.60,74.40,193,0,1,normal,baseline
2026-09-11T15:46:07.054,516695,28.60,74.30,194,0,1,normal,baseline
2026-09-11T15:46:09.538,519204,28.60,74.50,192,0,1,normal,baseline
2026-09-11T15:46:12.022,521712,28.60,74.60,194,0,1,normal,baseline
2026-09-11T15:46:14.506,524221,28.60,74.60,196,0,1,normal,baseline
2026-09-11T15:46:16.990,526730,28.70,74.60,195,0,1,normal,baseline
2026-09-11T15:46:19.474,529239,28.60,74.60,194,0,1,normal,baseline
2026-09-11T15:46:21.959,531748,28.60,74.50,195,0,1,normal,baseline
2026-09-11T15:46:24.443,534256,28.70,74.30,195,0,1,normal,baseline
2026-09-11T15:46:26.928,536765,28.60,74.30,197,0,1,normal,baseline
2026-09-11T15:46:29.412,539274,28.60,74.30,195,0,1,normal,baseline
2026-09-11T15:46:31.898,541783,28.60,74.30,195,0,1,normal,baseline
2026-09-11T15:46:34.380,544292,28.60,74.20,195,0,1,normal,baseline
2026-09-11T15:46:36.865,546800,28.70,74.20,194,0,1,normal,baseline
2026-09-11T15:46:39.349,549309,28.60,74.10,193,0,1,normal,baseline
2026-09-11T15:46:41.833,551818,28.60,74.30,193,0,1,normal,baseline
2026-09-11T15:46:44.317,554327,28.70,74.10,193,0,1,normal,baseline
2026-09-11T15:46:46.802,556836,28.70,74.10,192,0,1,normal,baseline
2026-09-11T15:46:49.286,559344,28.60,74.00,195,0,1,normal,baseline
2026-09-11T15:46:51.770,561853,28.60,74.20,196,0,1,normal,baseline
2026-09-11T15:46:54.255,564362,28.60,74.20,195,0,1,normal,baseline
2026-09-11T15:46:56.739,566871,28.60,74.30,197,0,1,normal,baseline
