window_id,source_file,window_start_ms,window_end_ms,window_duration_s,mq2_last,mq2_mean,mq2_std,mq2_min,mq2_max,mq2_range,mq2_delta,mq2_slope_per_s,temp_last,temp_mean,temp_std,temp_delta,temp_slope_per_s,humidity_last,humidity_mean,humidity_std,humidity_delta,humidity_slope_per_s,flame_count,flame_fraction,anomaly_label,label,phase
50,sentinel_data_20260911_165323.csv,277414,299992,22.578,211,210.7,0.7810249675906655,209,212,3,2,0.08858180529719197,28.5,28.47,0.045825756949559045,0.0,0.0,73.7,73.63000000000001,0.0458257569495623,0.10000000000000853,0.004429090264859975,0,0.0,0,normal,
51,sentinel_data_20260911_165323.csv,302501,325079,22.578,207,208.4,1.1135528725660042,207,210,3,-3,-0.13287270794578793,28.4,28.419999999999998,0.04000000000000057,0.0,0.0,73.7,73.72,0.09797958971132939,0.10000000000000853,0.004429090264859975,0,0.0,0,normal,
52,sentinel_data_20260911_165323.csv,327588,350166,22.578,205,204.0,3.03315017762062,200,208,8,-3,-0.13287270794578793,28.4,28.409999999999997,0.05385164807134508,0.0,0.0,73.8,73.77,0.06403124237432774,0.0,0.0,0,0.0,0,normal,
53,sentinel_data_20260911_165323.csv,352674,375252,22.578,201,201.8,1.077032961426901,200,203,3,-2,-0.08858180529719197,28.4,28.409999999999997,0.05385164807134508,0.0,0.0,74.0,73.9,0.0774596669241476,0.09999999999999432,0.004429090264859346,0,0.0,0,normal,
54,sentinel_data_20260911_165323.csv,377761,400339,22.578,187,198.1,4.72122865364515,187,202,15,-14,-0.6200726370803438,28.4,28.409999999999997,0.030000000000000426,-0.10000000000000142,-0.004429090264859661,73.9,73.78999999999999,0.09433981132056851,0.10000000000000853,0.004429090264859975,0,0.0,0,normal,
55,sentinel_data_20260911_165323.csv,402848,425426,22.578,188,188.2,0.8717797887081347,187,190,3,1,0.04429090264859598,28.4,28.439999999999998,0.04898979485566426,0.0,0.0,73.8,73.82000000000001,0.07483314773547951,0.0,0.0,0,0.0,0,normal,
56,sentinel_data_20260911_165323.csv,427934,450513,22.579,184,186.1,1.57797338380595,184,188,4,-4,-0.17715576420567783,28.4,28.45,0.05000000000000071,-0.10000000000000142,-0.004428894105142009,73.7,73.66,0.08000000000000149,0.0,0.0,0,0.0,0,normal,
57,sentinel_data_20260911_165323.csv,453022,475600,22.578,186,185.6,0.8,184,187,3,2,0.08858180529719197,28.4,28.4,0.0,0.0,0.0,73.9,73.78,0.12489995996797018,0.30000000000001137,0.013287270794579297,0,0.0,0,normal,
58,sentinel_data_20260911_165323.csv,478108,500686,22.578,191,190.9,6.640030120413611,185,203,18,5,0.2214545132429799,28.5,28.4,0.044721359549995635,0.10000000000000142,0.004429090264859661,73.9,73.89,0.07000000000000149,0.10000000000000853,0.004429090264859975,0,0.0,0,normal,
59,sentinel_data_20260911_165323.csv,503195,525773,22.578,189,189.7,0.9,188,191,3,-1,-0.04429090264859598,28.3,28.380000000000003,0.03999999999999915,0.0,0.0,73.8,73.92,0.11661903789690498,0.0,0.0,0,0.0,0,normal,
60,sentinel_data_20260911_165323.csv,528282,550860,22.578,181,183.8,2.993325909419153,179,187,8,-6,-0.26574541589157585,28.5,28.459999999999997,0.04898979485566426,0.0,0.0,73.7,73.67,0.06403124237433107,0.0,0.0,0,0.0,0,normal,
61,sentinel_data_20260911_165323.csv,553369,575946,22.577,201,200.3,8.866228059327145,182,219,37,19,0.8415644239712982,28.4,28.4,0.0,0.0,0.0,73.8,73.72,0.05999999999999943,0.20000000000000284,0.008858572883908528,0,0.0,0,normal,
62,sentinel_data_20260911_165323.csv,578455,601033,22.578,202,200.4,1.5620499351813308,198,203,5,-1,-0.04429090264859598,28.4,28.380000000000003,0.03999999999999915,0.0,0.0,73.6,73.68,0.07483314773547951,-0.20000000000000284,-0.008858180529719322,0,0.0,0,normal,
63,sentinel_data_20260911_165323.csv,603542,626123,22.581,198,200.3,1.7916472867168918,198,203,5,-4,-0.17714007351313052,28.4,28.409999999999997,0.030000000000000426,0.0,0.0,73.5,73.53999999999999,0.06633249580710766,-0.09999999999999432,-0.0044285018378280114,0,0.0,0,normal,
64,sentinel_data_20260911_165323.csv,628631,651211,22.58,200,199.3,1.4177446878757827,198,202,4,2,0.08857395925597875,28.4,28.4,0.044721359549995635,0.0,0.0,73.6,73.63000000000001,0.06403124237433107,-0.10000000000000853,-0.004428697962799315,0,0.0,0,normal,
65,sentinel_data_20260911_165323.csv,653720,676299,22.579,198,199.2,1.2489995996796797,197,201,4,1,0.04428894105141946,28.4,28.380000000000003,0.03999999999999915,0.09999999999999787,0.004428894105141852,73.7,73.66,0.06633249580711065,0.10000000000000853,0.004428894105142324,0,0.0,0,normal,
66,sentinel_data_20260911_165323.csv,678808,701387,22.579,198,198.2,0.7483314773547882,197,199,2,1,0.04428894105141946,28.4,28.380000000000003,0.03999999999999915,0.0,0.0,73.6,73.67,0.07810249675906847,0.0,0.0,0,0.0,0,normal,
67,sentinel_data_20260911_165323.csv,703895,726476,22.581,201,199.9,1.57797338380595,197,202,5,2,0.08857003675656526,28.4,28.35,0.04999999999999894,0.0,0.0,73.6,73.53,0.0781024967590652,-0.10000000000000853,-0.00442850183782864,0,0.0,0,normal,
68,sentinel_data_20260911_165323.csv,728985,751566,22.581,196,198.2,1.5362291495737217,196,200,4,-4,-0.17714007351313052,28.4,28.389999999999997,0.02999999999999936,0.0,0.0,73.5,73.5,0.044721359549993255,0.0,0.0,0,0.0,0,normal,
69,sentinel_data_20260911_165323.csv,754075,776656,22.581,198,198.7,0.7810249675906655,197,200,3,1,0.04428501837828263,28.4,28.389999999999997,0.02999999999999936,0.0,0.0,73.4,73.39,0.0830662386291808,-0.09999999999999432,-0.0044285018378280114,0,0.0,0,normal,
70,sentinel_data_20260911_165323.csv,779165,801746,22.581,200,199.1,0.7000000000000001,198,200,2,1,0.04428501837828263,28.4,28.389999999999997,0.02999999999999936,0.0,0.0,73.5,73.51,0.10440306508910502,0.0,0.0,0,0.0,0,normal,
71,sentinel_data_20260911_165323.csv,804255,826834,22.579,204,202.7,1.4177446878757827,201,205,4,3,0.13286682315425838,28.3,28.340000000000003,0.06633249580710744,0.0,0.0,73.6,73.67,0.07810249675906775,0.09999999999999432,0.004428894105141694,0,0.0,0,normal,
72,sentinel_data_20260911_165323.csv,829343,851922,22.579,216,210.2,4.377213725647858,204,216,12,12,0.5314672926170335,28.3,28.340000000000003,0.048989794855662516,-0.09999999999999787,-0.004428894105141852,73.5,73.67999999999999,0.09797958971132766,-0.20000000000000284,-0.008857788210284018,0,0.0,0,normal,
73,sentinel_data_20260911_165323.csv,854431,877011,22.58,212,210.9,0.5385164807134505,210,212,2,1,0.04428697962798937,28.3,28.3,0.044721359549995635,0.0,0.0,73.5,73.68,0.07483314773547951,-0.29999999999999716,-0.013286093888396687,0,0.0,0,normal,
74,sentinel_data_20260911_165323.csv,879520,902101,22.581,210,210.9,1.2206555615733703,210,213,3,-3,-0.13285505513484788,28.3,28.340000000000003,0.048989794855662516,0.0,0.0,73.5,73.58000000000001,0.07483314773547912,0.0,0.0,0,0.0,0,normal,
75,sentinel_data_20260911_165323.csv,904610,927191,22.581,206,207.3,1.3453624047073711,205,209,4,-3,-0.13285505513484788,28.4,28.32,0.03999999999999915,0.09999999999999787,0.0044285018378281684,73.6,73.57,0.06403124237432774,0.0,0.0,0,0.0,0,normal,
76,sentinel_data_20260911_165323.csv,929700,952281,22.581,207,205.6,1.1135528725660042,204,207,3,2,0.08857003675656526,28.3,28.320000000000004,0.03999999999999915,-0.09999999999999787,-0.0044285018378281684,73.4,73.41,0.05385164807134488,-0.09999999999999432,-0.0044285018378280114,0,0.0,0,normal,
77,sentinel_data_20260911_165323.csv,954790,977370,22.58,206,205.8,0.8717797887081348,205,208,3,-2,-0.08857395925597875,28.4,28.35,0.04999999999999894,0.09999999999999787,0.004428697962798843,73.2,73.32000000000001,0.07483314773548065,-0.20000000000000284,-0.008857395925598002,0,0.0,0,normal,
78,sentinel_data_20260911_165323.csv,979879,1002460,22.581,205,204.7,0.6403124237432849,203,205,2,0,0.0,28.3,28.310000000000002,0.05385164807134461,0.0,0.0,73.4,73.4,0.11832159566199399,0.10000000000000853,0.00442850183782864,0,0.0,0,normal,
79,sentinel_data_20260911_165323.csv,1004969,1027551,22.582,209,203.1,3.080584360149872,199,209,10,4,0.1771322292091046,28.3,28.330000000000002,0.04582575694955742,0.0,0.0,73.5,73.39999999999999,0.1,0.0,0.0,0,0.0,0,normal,
80,sentinel_data_20260911_165323.csv,1030060,1052641,22.581,211,211.4,1.2,210,214,4,0,0.0,28.4,28.369999999999997,0.04582575694955742,0.09999999999999787,0.0044285018378281684,73.3,73.35999999999999,0.06633249580711066,0.0,0.0,0,0.0,0,normal,
81,sentinel_data_20260911_165323.csv,1055150,1077731,22.581,211,210.5,0.5,210,211,1,1,0.04428501837828263,28.4,28.380000000000003,0.03999999999999915,0.0,0.0,73.2,73.22,0.05999999999999943,-0.09999999999999432,-0.0044285018378280114,0,0.0,0,normal,
82,sentinel_data_20260911_165323.csv,1080241,1102822,22.581,205,208.7,2.758622844826744,204,211,7,-6,-0.26571011026969577,28.3,28.369999999999997,0.04582575694955742,-0.09999999999999787,-0.0044285018378281684,73.0,73.12,0.060000000000002274,-0.20000000000000284,-0.00885700367565665,0,0.0,0,normal,
83,sentinel_data_20260911_165323.csv,1105331,1127912,22.581,221,214.7,6.3095166217389425,205,221,16,16,0.7085602940525221,28.3,28.380000000000003,0.03999999999999915,-0.09999999999999787,-0.0044285018378281684,73.2,73.14,0.10198039027185603,0.10000000000000853,0.00442850183782864,0,0.0,0,normal,
84,sentinel_data_20260911_165323.csv,1130421,1153002,22.581,220,221.8,1.32664991614216,220,224,4,-2,-0.08857003675656526,28.4,28.389999999999997,0.02999999999999936,0.0,0.0,73.2,73.17000000000002,0.045825756949562306,0.0,0.0,0,0.0,0,normal,
85,sentinel_data_20260911_165323.csv,1155511,1178092,22.581,225,224.6,1.4966629547095762,221,226,5,4,0.17714007351313052,28.4,28.340000000000003,0.048989794855662516,0.09999999999999787,0.0044285018378281684,73.1,73.16000000000001,0.08000000000000149,-0.10000000000000853,-0.00442850183782864,0,0.0,0,normal,
86,sentinel_data_20260911_165323.csv,1180602,1203183,22.581,228,227.9,2.7367864366808017,224,231,7,3,0.13285505513484788,28.4,28.389999999999997,0.02999999999999936,0.0,0.0,73.0,73.1,0.07745966692414945,-0.20000000000000284,-0.00885700367565665,0,0.0,0,normal,
87,sentinel_data_20260911_165323.csv,1205692,1228272,22.58,234,226.1,6.833008122342604,211,234,23,5,0.22143489813994688,28.4,28.389999999999997,0.02999999999999936,0.0,0.0,73.0,72.94,0.09165151389911594,0.09999999999999432,0.004428697962798686,0,0.0,0,normal,
88,sentinel_data_20260911_165323.csv,1230781,1253362,22.581,229,231.9,2.7730849247724096,229,237,8,-8,-0.35428014702626104,28.4,28.410000000000004,0.053851648071345085,0.0,0.0,72.9,72.91,0.07000000000000048,-0.09999999999999432,-0.0044285018378280114,0,0.0,0,normal,
